$ /home/nicolas/anaconda3/envs/testenv/bin/python /home/nicolas/Documents/OptML_project/create_success_graphs.py
[2020-05-24 14:14:13] [ INFO ] : Removing old files.. 
[2020-05-24 14:40:52] [ INFO ] : Benchmarking with 95 particles 
[2020-05-24 14:41:18] [ INFO ] : Benchmarking with 96 particles 
[2020-05-24 14:41:46] [ INFO ] : Benchmarking with 97 particles 
[2020-05-24 14:42:12] [ INFO ] : Benchmarking with 98 particles 
[2020-05-24 14:42:39] [ INFO ] : Benchmarking with 99 particles 
[2020-05-24 14:43:07] [ INFO ] : Benchmarking with 100 particles 
[2020-05-24 14:43:36] [ INFO ] : Benchmarking with 101 particles 
[2020-05-24 14:44:05] [ INFO ] : Benchmarking with 102 particles 
[2020-05-24 14:44:33] [ INFO ] : Benchmarking with 103 particles 
[2020-05-24 14:45:06] [ INFO ] : Benchmarking with 104 particles 
[2020-05-24 14:45:33] [ INFO ] : Benchmarking with 105 particles 
[2020-05-24 14:46:04] [ INFO ] : Benchmarking with 106 particles 
[2020-05-24 14:46:31] [ INFO ] : Benchmarking with 107 particles 
[2020-05-24 14:46:59] [ INFO ] : Benchmarking with 108 particles 
[2020-05-24 14:47:30] [ INFO ] : Benchmarking with 109 particles 
[2020-05-24 14:48:03] [ INFO ] : Benchmarking with 110 particles 
[2020-05-24 14:48:35] [ INFO ] : Benchmarking with 111 particles 
[2020-05-24 14:49:03] [ INFO ] : Benchmarking with 112 particles 
[2020-05-24 14:49:33] [ INFO ] : Benchmarking with 113 particles 
[2020-05-24 14:50:03] [ INFO ] : Benchmarking with 114 particles 
[2020-05-24 14:50:36] [ INFO ] : Benchmarking with 115 particles 
[2020-05-24 14:51:11] [ INFO ] : Benchmarking with 116 particles 
[2020-05-24 14:51:43] [ INFO ] : Benchmarking with 117 particles 
[2020-05-24 14:52:16] [ INFO ] : Benchmarking with 118 particles 
[2020-05-24 14:52:50] [ INFO ] : Benchmarking with 119 particles 
[2020-05-24 14:53:21] [ INFO ] : Benchmarking with 120 particles 
[2020-05-24 14:53:52] [ INFO ] : Benchmarking with 121 particles 
[2020-05-24 14:54:28] [ INFO ] : Benchmarking with 122 particles 
[2020-05-24 14:55:02] [ INFO ] : Benchmarking with 123 particles 
[2020-05-24 14:55:35] [ INFO ] : Benchmarking with 124 particles 
[2020-05-24 14:56:07] [ INFO ] : Benchmarking with 125 particles 
[2020-05-24 14:56:39] [ INFO ] : Benchmarking with 126 particles 
[2020-05-24 14:57:15] [ INFO ] : Benchmarking with 127 particles 
[2020-05-24 14:57:52] [ INFO ] : Benchmarking with 128 particles 
[2020-05-24 14:58:28] [ INFO ] : Benchmarking with 129 particles 
[2020-05-24 14:59:03] [ INFO ] : Benchmarking with 130 particles 
[2020-05-24 14:59:38] [ INFO ] : Benchmarking with 131 particles 
[2020-05-24 15:00:11] [ INFO ] : Benchmarking with 132 particles 
[2020-05-24 15:00:48] [ INFO ] : Benchmarking with 133 particles 
[2020-05-24 15:01:23] [ INFO ] : Benchmarking with 134 particles 
[2020-05-24 15:02:00] [ INFO ] : Benchmarking with 135 particles 
[2020-05-24 15:02:35] [ INFO ] : Benchmarking with 136 particles 
[2020-05-24 15:03:12] [ INFO ] : Benchmarking with 137 particles 
[2020-05-24 15:03:51] [ INFO ] : Benchmarking with 138 particles 
[2020-05-24 15:04:25] [ INFO ] : Benchmarking with 139 particles 
[2020-05-24 15:05:02] [ INFO ] : Benchmarking with 140 particles 
[2020-05-24 15:05:39] [ INFO ] : Benchmarking with 141 particles 
[2020-05-24 15:06:18] [ INFO ] : Benchmarking with 142 particles 
[2020-05-24 15:06:53] [ INFO ] : Benchmarking with 143 particles 
[2020-05-24 15:07:29] [ INFO ] : Benchmarking with 144 particles 
[2020-05-24 15:08:10] [ INFO ] : Benchmarking with 145 particles 
[2020-05-24 15:08:53] [ INFO ] : Benchmarking with 146 particles 
[2020-05-24 15:09:30] [ INFO ] : Benchmarking with 147 particles 
[2020-05-24 15:10:11] [ INFO ] : Benchmarking with 148 particles 
[2020-05-24 15:10:48] [ INFO ] : Benchmarking with 149 particles 
[2020-05-24 15:11:33] [ INFO ] : Benchmarking with 150 particles 
[2020-05-24 15:12:05] [ INFO ] : Benchmarking with 151 particles 
[2020-05-24 15:12:39] [ INFO ] : Benchmarking with 152 particles 
[2020-05-24 15:13:20] [ INFO ] : Benchmarking with 153 particles 
[2020-05-24 15:13:55] [ INFO ] : Benchmarking with 154 particles 
[2020-05-24 15:14:32] [ INFO ] : Benchmarking with 155 particles 
[2020-05-24 15:15:14] [ INFO ] : Benchmarking with 156 particles 
[2020-05-24 15:15:53] [ INFO ] : Benchmarking with 157 particles 
[2020-05-24 15:16:33] [ INFO ] : Benchmarking with 158 particles 
[2020-05-24 15:17:11] [ INFO ] : Benchmarking with 159 particles 
[2020-05-24 15:17:51] [ INFO ] : Benchmarking with 160 particles 
[2020-05-24 15:18:24] [ INFO ] : Benchmarking with 161 particles 
[2020-05-24 15:18:58] [ INFO ] : Benchmarking with 162 particles 
[2020-05-24 15:19:38] [ INFO ] : Benchmarking with 163 particles 
[2020-05-24 15:20:23] [ INFO ] : Benchmarking with 164 particles 
[2020-05-24 15:21:03] [ INFO ] : Benchmarking with 165 particles 
[2020-05-24 15:21:46] [ INFO ] : Benchmarking with 166 particles 
[2020-05-24 15:22:31] [ INFO ] : Benchmarking with 167 particles 
[2020-05-24 15:23:08] [ INFO ] : Benchmarking with 168 particles 
[2020-05-24 15:23:46] [ INFO ] : Benchmarking with 169 particles 
[2020-05-24 15:24:27] [ INFO ] : Benchmarking with 170 particles 
[2020-05-24 15:25:12] [ INFO ] : Benchmarking with 171 particles 
[2020-05-24 15:25:53] [ INFO ] : Benchmarking with 172 particles 
[2020-05-24 15:26:40] [ INFO ] : Benchmarking with 173 particles 
[2020-05-24 15:27:27] [ INFO ] : Benchmarking with 174 particles 
[2020-05-24 15:28:14] [ INFO ] : Benchmarking with 175 particles 
[2020-05-24 15:28:58] [ INFO ] : Benchmarking with 176 particles 
[2020-05-24 15:29:45] [ INFO ] : Benchmarking with 177 particles 
[2020-05-24 15:30:32] [ INFO ] : Benchmarking with 178 particles 
[2020-05-24 15:31:12] [ INFO ] : Benchmarking with 179 particles 
[2020-05-24 15:31:58] [ INFO ] : Benchmarking with 180 particles 
[2020-05-24 15:32:44] [ INFO ] : Benchmarking with 181 particles 
[2020-05-24 15:33:27] [ INFO ] : Benchmarking with 182 particles 
[2020-05-24 15:34:15] [ INFO ] : Benchmarking with 183 particles 
[2020-05-24 15:35:03] [ INFO ] : Benchmarking with 184 particles 
[2020-05-24 15:35:48] [ INFO ] : Benchmarking with 185 particles 
[2020-05-24 15:36:36] [ INFO ] : Benchmarking with 186 particles 
[2020-05-24 15:37:17] [ INFO ] : Benchmarking with 187 particles 
[2020-05-24 15:38:02] [ INFO ] : Benchmarking with 188 particles 
[2020-05-24 15:38:49] [ INFO ] : Benchmarking with 189 particles 
[2020-05-24 15:39:31] [ INFO ] : Benchmarking with 190 particles 
[2020-05-24 15:40:16] [ INFO ] : Benchmarking with 191 particles 
[2020-05-24 15:41:09] [ INFO ] : Benchmarking with 192 particles 
[2020-05-24 15:41:55] [ INFO ] : Benchmarking with 193 particles 
[2020-05-24 15:42:35] [ INFO ] : Benchmarking with 194 particles 
[2020-05-24 15:43:23] [ INFO ] : Benchmarking with 195 particles 
[2020-05-24 15:44:10] [ INFO ] : Benchmarking with 196 particles 
[2020-05-24 15:44:55] [ INFO ] : Benchmarking with 197 particles 
[2020-05-24 15:45:41] [ INFO ] : Benchmarking with 198 particles 
[2020-05-24 15:46:24] [ INFO ] : Benchmarking with 199 particles 
[2020-05-24 15:47:17] [ INFO ] : Benchmarking with 200 particles 
[2020-05-24 15:48:08] [ INFO ] : Benchmarking with 201 particles 
[2020-05-24 15:49:03] [ INFO ] : Benchmarking with 202 particles 
[2020-05-24 15:49:50] [ INFO ] : Benchmarking with 203 particles 
[2020-05-24 15:50:38] [ INFO ] : Benchmarking with 204 particles 
[2020-05-24 15:51:20] [ INFO ] : Benchmarking with 205 particles 
[2020-05-24 15:52:11] [ INFO ] : Benchmarking with 206 particles 
[2020-05-24 15:52:57] [ INFO ] : Benchmarking with 207 particles 
[2020-05-24 15:53:46] [ INFO ] : Benchmarking with 208 particles 
